Performance Summary | MUTUAL FUNDS ASSOCIATION OF PAKISTAN,,,,,,,,,,,,,,,,,
Sector,Category,Fund Name,Rating,Benchmark,Validity Date,NAV,YTD,MTD,1 Day,15 Days,30 Days,90 Days,180 Days,270 Days,365 Days,2 Years,3 Years
Open-End Funds,Money Market (Annualized Return),ABL Cash Fund,AA+(f),N/A,"Jan 02, 2026",10.7807,10.1099,10.6763,10.8405,10.3368,10.3575,10.2042,10.0691,10.6627,10.7562,16.5943,20.4753
Open-End Funds,Money Market (Annualized Return),ABL Money Market Plan I,AA+(f),N/A,"Jan 02, 2026",10.5173,9.8582,9.5448,9.3805,9.361,10.6775,9.9114,9.7394,10.4298,10.4654,16.3743,N/A
Open-End Funds,Money Market (Annualized Return),AKD Cash Fund,AA+(f),N/A,"Jan 01, 2026",54.6506,10.0931,10.0375,10.0375,10.568,11.5559,10.5031,10.0566,10.4022,10.6132,16.3503,20.2081
Open-End Funds,Money Market (Annualized Return),AL Habib Cash Fund,AAA(f),N/A,"Jan 02, 2026",106.89,10.2743,9.2345,9.344,9.6676,10.3295,10.2046,10.2599,10.6299,10.8158,16.3375,20.1316
Open-End Funds,Money Market (Annualized Return),AL Habib Money Market Fund,AAA(f),N/A,"Jan 02, 2026",105.6713,10.2157,9.271,9.125,9.5703,10.2687,10.1815,10.2022,10.5247,10.6865,16.2648,20.124
Open-End Funds,Money Market (Annualized Return),Alfalah Cash Fund - II (Formerly: Faysal Cash Fund),AA+(f),N/A,"Jan 01, 2026",107.6602,9.7667,11.315,11.315,11.0084,10.3551,9.9463,9.7498,10.5235,8.9547,17.3377,20.6104
Open-End Funds,Money Market (Annualized Return),Alfalah GHP Cash Fund,AA+(f),Nil,"Jan 01, 2026",529.0186,9.5928,9.0155,9.0155,9.125,9.2102,9.4417,9.5547,10.0309,10.1373,15.9088,19.926
Open-End Funds,Money Market (Annualized Return),Alfalah GHP Money Market Fund,AA+(f),N/A,"Dec 30, 2025",103.9848,10.0086,10.0558,10.22,10.2614,10.0558,10.0014,9.9941,10.4486,10.6936,16.455,20.3357
Open-End Funds,Money Market (Annualized Return),Alfalah Money Market Fund - II (Formerly: Faysal Money Market Fund),AA(f),N/A,"Jan 01, 2026",108.3387,9.4914,8.7965,8.7965,8.816,8.9279,9.1295,9.3783,10.1471,10.6614,15.8491,19.5362
Open-End Funds,Money Market (Annualized Return),Askari Cash Fund,AA+(f),N/A,"Jan 02, 2026",108.4763,9.0924,8.3403,8.3585,8.1298,8.3719,8.6225,9.0447,9.5369,9.8696,15.5146,19.6165
Open-End Funds,Money Market (Annualized Return),Atlas Liquid Fund,AA+(f),N/A,"Jan 01, 2026",528.0213,10.4729,N/A,10.6215,10.237,10.7249,10.5887,10.4147,10.7352,10.9029,16.6951,20.3679
Open-End Funds,Money Market (Annualized Return),Atlas Money Market Fund,AA+(f),N/A,"Dec 31, 2025",539.9262,10.5848,10.6474,9.417,10.164,10.6604,10.5558,10.5493,10.8352,10.967,16.7809,20.6088
Open-End Funds,Money Market (Annualized Return),HBL Cash Fund,AA+(f),N/A,"Dec 30, 2025",108.5002,9.9392,10.1055,9.709,10.4487,10.0923,10.0306,9.9168,10.673,10.6479,15.7437,19.7016
Open-End Funds,Money Market (Annualized Return),HBL Money Market Fund,AA+(f),N/A,"Dec 31, 2025",108.6017,9.6246,9.2637,8.8695,9.1785,9.2637,9.4697,9.5403,10.1819,10.1189,15.7615,19.4326
Open-End Funds,Money Market (Annualized Return),JS Cash Fund,AA+(f),N/A,"Jan 01, 2026",110.7585,10.4362,17.4105,17.4105,16.043,13.1643,10.4771,10.4102,10.6625,10.7667,16.553,20.4729
Open-End Funds,Money Market (Annualized Return),JS Money Market Fund,AA+(f),N/A,"Jan 02, 2026",116.63,10.5084,9.5813,9.4535,9.4803,9.58,9.7029,10.4749,10.6854,10.3294,16.6284,N/A
Open-End Funds,Money Market (Annualized Return),Lakson Money Market Fund,AA+(f),N/A,"Jan 02, 2026",108.0698,10.0263,10.512,10.512,10.0278,10.0071,10.1004,10.0089,10.542,10.767,16.6667,20.6765
Open-End Funds,Money Market (Annualized Return),MCB Cash Management Optimizer,AA+(f),N/A,"Jan 02, 2026",107.5058,9.9688,10.4755,10.439,9.984,10.0241,9.9763,9.9317,10.3568,10.5966,16.4696,20.1826
Open-End Funds,Money Market (Annualized Return),NBP Cash Plan I,,N/A,"Jan 01, 2026",10.5826,9.7348,9.6725,9.6725,9.6725,9.7467,9.7001,9.7291,10.1589,10.3074,16.2871,N/A
Open-End Funds,Money Market (Annualized Return),NBP Cash Plan II,,N/A,"Jan 01, 2026",10.0027,9.9406,9.855,9.855,10.3125,10.175,9.9856,9.9146,10.361,10.4806,16.5311,N/A
Open-End Funds,Money Market (Annualized Return),NBP Government Securities Liquid Fund,AAA(f),N/A,"Jan 01, 2026",10.8215,9.8023,9.125,9.125,9.2321,9.827,9.7674,9.7222,10.3528,10.485,16.4927,20.5453
Open-End Funds,Money Market (Annualized Return),NBP Money Market Fund,AA(f),N/A,"Jan 01, 2026",10.5439,10.0509,10.0375,10.0375,9.9864,10.0996,10.0635,10.0057,10.4701,10.6028,16.5365,20.389
Open-End Funds,Money Market (Annualized Return),NIT Money Market Fund,AAA(f),N/A,"Jan 02, 2026",10.2799,10.4566,11.5523,10.658,10.5071,10.8186,10.5899,10.4086,10.8271,11.0587,17.0079,21.047
Open-End Funds,Money Market (Annualized Return),Pakistan Cash Management Fund,AA+(f),N/A,"Jan 01, 2026",50.4678,9.8641,11.6435,11.6435,9.0909,9.0046,9.9183,9.8378,9.9818,10.2037,16.2094,19.8806
Open-End Funds,Money Market (Annualized Return),UBL Cash Fund,AA+(f),N/A,"Jan 01, 2026",105.3492,9.8084,17.155,17.155,10.4171,10.2431,9.724,9.7988,10.1908,10.4829,16.253,20.026
Open-End Funds,Money Market (Annualized Return),UBL Liquidity Fund,,N/A,"Jan 01, 2026",103.2864,10.5377,10.0375,10.0375,10.1811,10.2614,10.379,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Money Market (Annualized Return),UBL Liquidity Plus Fund,AA+(f),N/A,"Jan 02, 2026",106.6745,10.0527,4.891,N/A,9.3416,9.9353,9.926,10.0063,10.3027,10.5466,16.3027,20.3746
Open-End Funds,Money Market (Annualized Return),UBL Money Market Fund,AA+(f),N/A,"Jan 01, 2026",106.2837,10.0438,10.001,10.001,9.9645,10.1969,9.9637,10.033,10.3533,10.7486,16.3442,20.0408
Open-End Funds,Income (Annualized Return),ABL Financial Sector Fund Plan I,A+(f),N/A,"Jan 01, 2026",10.5388,10.4124,10.4025,10.4025,11.1325,11.2554,10.6268,10.382,10.6023,10.9908,16.7754,N/A
Open-End Funds,Income (Annualized Return),ABL Government Securities Fund,AA-(f),N/A,"Jan 01, 2026",10.6922,10.1979,8.8695,8.8695,10.3757,11.3247,10.3826,9.8789,11.1183,11.1625,17.6122,21.3926
Open-End Funds,Income (Annualized Return),ABL Income Fund,A+(f),N/A,"Jan 01, 2026",10.7146,9.9903,9.8915,9.8915,13.4734,12.4575,9.9069,9.8094,11.3238,11.4208,17.7228,19.7173
Open-End Funds,Income (Annualized Return),AL Habib Government Securities Fund,AAA(f),N/A,"Dec 31, 2025",105.6718,10.2621,10.7722,5.986,9.7309,10.7943,10.3587,10.1975,11.1613,11.2355,17.0064,N/A
Open-End Funds,Income (Annualized Return),AL Habib Income Fund,AA(f),N/A,"Dec 31, 2025",107.5767,10.3345,11.3126,(3.1025),10.0764,11.3515,10.5517,10.2869,10.7849,10.9648,16.8513,20.7896
Open-End Funds,Income (Annualized Return),AL Habib Sovereign Income Fund Plan 1,,N/A,"Dec 31, 2025",105.4175,10.7467,10.9253,9.125,10.439,10.9366,11.1536,10.6235,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return),AL Habib Sovereign Income Fund Plan 2,,N/A,"Dec 31, 2025",105.5024,10.9151,11.0395,9.0155,10.4779,11.0534,10.9289,10.8606,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return),AL Habib Sovereign Income Fund Plan 3,,N/A,"Dec 22, 2025",105.272,10.9959,11.0894,10.293,11.2347,10.9792,10.9723,10.936,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return),Alfalah Financial Sector Income Fund,A+(f),N/A,"Dec 31, 2025",105.6573,10.5231,11.3762,10.3295,11.1666,11.3454,10.7862,10.4656,10.8678,11.3182,5.1512,N/A
Open-End Funds,Income (Annualized Return),Alfalah Financial Sector Opportunity Fund  (Formerly: Faysal Financial Sector Opportunity Fund),A+(f),N/A,"Dec 31, 2025",122.6885,14.0751,17.3116,238.491,24.5791,17.5334,13.2742,14.2364,13.2058,13.5069,16.4837,20.9942
Open-End Funds,Income (Annualized Return),Alfalah GHP Income Fund,AA-(f),12,"Dec 30, 2025",120.3117,10.4426,11.7031,37.0475,14.4224,11.7031,11.3645,10.4285,10.8953,11.5525,17.226,21.715
Open-End Funds,Income (Annualized Return),Alfalah GHP Sovereign Fund,AA-(f),N/A,"Dec 31, 2025",113.4504,10.4695,19.1872,2.3725,19.7124,19.6175,11.826,9.8365,12.8369,12.0205,17.8809,21.9255
Open-End Funds,Income (Annualized Return),Alfalah Government Securities Fund - II (Formerly: Faysal Government Securities Fund),AA(f),N/A,"Dec 30, 2025",132.8745,10.6153,20.3342,20.9875,28.6501,20.3342,12.6347,10.1509,12.9944,19.0565,16.5814,18.2464
Open-End Funds,Income (Annualized Return),Alfalah Government Securities Fund Plan I,,N/A,"Dec 31, 2025",106.1807,11.7645,28.729,8.1395,26.1608,29.2852,15.2854,10.8515,13.928,13.3334,N/A,N/A
Open-End Funds,Income (Annualized Return),Alfalah Government Securities Fund Plan II,,N/A,"Dec 31, 2025",104.877,9.494,14.8143,4.818,15.1694,14.7278,10.8328,8.9204,11.9593,11.6651,N/A,N/A
Open-End Funds,Income (Annualized Return),Alfalah MTS Fund (Formerly: Faysal MTS Fund),AA-(f),N/A,"Jan 01, 2026",109.6565,11.4535,10.9865,10.9865,10.1543,10.4792,11.081,11.4202,11.7389,11.5714,15.902,20.4882
Open-End Funds,Income (Annualized Return),Alfalah Savings Growth Fund (Formerly: Faysal Savings Growth Fund),AA-(f),N/A,"Dec 30, 2025",110.7447,12.2227,22.5862,41.0625,32.4461,22.5862,14.1932,11.8301,13.0374,13.8824,20.6431,22.6385
Open-End Funds,Income (Annualized Return),Askari Sovereign Yield Enhancer,AA-(f),N/A,"Dec 31, 2025",109.1461,9.2168,8.886,8.322,8.5532,8.8853,9.1347,9.1962,10.013,10.1623,16.2988,20.9941
Open-End Funds,Income (Annualized Return),Atlas Income Fund,AA-(f),N/A,"Dec 31, 2025",558.0125,10.7784,12.7338,11.7895,11.989,12.786,11.1345,10.6927,11.7412,11.4156,17.4404,20.4667
Open-End Funds,Income (Annualized Return),Atlas Sovereign Fund,AA-(f),N/A,"Dec 31, 2025",108.3543,10.9268,14.9085,11.534,14.5757,14.9614,11.9347,10.6643,11.4253,11.2154,18.3621,20.8688
Open-End Funds,Income (Annualized Return),AWT Financial Sector Income Fund,A+(f),N/A,"Dec 31, 2025",104.0567,7.3432,7.0575,7.6285,7.081,7.0518,7.1049,7.3245,7.92,8.4245,14.8093,19.9228
Open-End Funds,Income (Annualized Return),AWT Income Fund,A+(f),N/A,"Dec 31, 2025",116.1341,9.7657,10.1847,18.8705,10.2881,10.1981,9.75,9.7481,10.2523,10.5396,17.0935,21.3053
Open-End Funds,Income (Annualized Return),HBL Financial Sector Income Fund Plan I,,N/A,"Dec 29, 2025",107.409,9.7343,10.0803,8.1395,11.3199,10.0606,9.7293,9.6755,10.7479,10.9449,16.7128,21.0555
Open-End Funds,Income (Annualized Return),HBL Financial Sector Income Fund Plan II,,N/A,"Dec 30, 2025",100,11.6447,10.6831,10.512,10.4925,11.3953,10.9662,11.6522,11.6573,11.7375,N/A,N/A
Open-End Funds,Income (Annualized Return),HBL Government Securities Fund,AA-(f),N/A,"Dec 30, 2025",120.9634,12.0659,25.112,42.851,38.016,25.112,14.4901,11.5985,12.4211,11.9434,18.5652,21.9363
Open-End Funds,Income (Annualized Return),HBL Income Fund,A+(f),N/A,"Dec 30, 2025",119.5716,11.0812,19.3706,24.455,25.0341,19.3706,12.7791,11.0425,10.9996,10.6719,16.7095,20.7608
Open-End Funds,Income (Annualized Return),JS Government Securities Fund,AA(f),N/A,"Jan 01, 2026",117.9851,10.3788,7.7015,7.7015,13.9357,18.5323,12.0657,10.0785,11.7027,11.1677,17.1029,20.7102
Open-End Funds,Income (Annualized Return),JS Income Fund,A+(f),N/A,"Jan 01, 2026",122.2455,9.7382,8.395,8.395,9.5679,7.5202,8.7783,9.5523,10.8993,10.8309,15.8541,18.8865
Open-End Funds,Income (Annualized Return),JS Microfinance Sector Fund,A(f),N/A,"Dec 31, 2025",114.346,11.3426,11.0583,11.023,11.0279,11.0559,11.2152,11.3476,11.3926,11.7091,17.7211,22.5719
Open-End Funds,Income (Annualized Return),Lakson Income Fund,A+(f),N/A,"Dec 30, 2025",108.3536,11.9381,16.8533,24.0535,22.2042,16.8533,12.7555,11.7033,13.4866,12.9605,18.9077,18.3138
Open-End Funds,Income (Annualized Return),MCB DCF Income Fund,AA-(f),N/A,"Dec 31, 2025",114.9367,9.7913,11.6305,9.5265,12.393,11.4586,9.9523,9.6496,10.6777,10.654,16.3233,19.2804
Open-End Funds,Income (Annualized Return),MCB Government Securities Plan I,AA(f),N/A,"Dec 31, 2025",105.7313,10.6169,12.9245,5.5845,12.775,13.0634,11.0194,10.3364,11.7245,11.7729,N/A,N/A
Open-End Funds,Income (Annualized Return),MCB Pakistan Sovereign Fund,AA-(f),N/A,"Dec 31, 2025",58.01,10.7421,16.6734,18.8705,17.3205,16.7973,12.0211,10.2453,12.5755,12.1129,17.972,20.8339
Open-End Funds,Income (Annualized Return),NBP Financial Sector Income Fund,A+(f),N/A,"Jan 01, 2026",11.2452,10.4646,10.074,10.074,11.1301,11.545,10.7776,10.4319,10.8667,11.0511,16.8678,21.0569
Open-End Funds,Income (Annualized Return),NBP Government Securities Plan IV,AA(f),N/A,"Jan 01, 2026",10.6232,10.8014,8.9425,8.9425,14.6097,17.6964,12.4051,10.5254,11.8019,11.7249,17.9195,N/A
Open-End Funds,Income (Annualized Return),NBP Government Securities Plan VIII,,N/A,"Jan 01, 2026",10.4006,11.295,10.1835,10.1835,13.5756,14.2496,12.0332,N/A,N/A,N/A,N/A,N/A
Open-End Funds,Income (Annualized Return),NBP Government Securities Savings Fund,AA-(f),N/A,"Jan 01, 2026",11.1198,11.0528,8.8695,8.8695,15.128,19.7696,12.8184,10.6142,12.2293,11.8379,18.0889,21.7538
Open-End Funds,Income (Annualized Return),NBP Income Opportunity Fund,A+(f),N/A,"Jan 01, 2026",11.8091,16.3907,23.506,23.506,12.1131,11.4817,11.0092,16.3776,17.4675,16.1228,20.2223,22.7972
Open-End Funds,Income (Annualized Return),NBP Income Plan I,,N/A,"Jan 01, 2026",10.1405,10.1825,9.709,9.709,11.0011,11.3515,10.617,10.1979,10.5524,10.7351,16.6801,N/A
Open-End Funds,Income (Annualized Return),NBP Mahana Amdani Fund,AA-(f),N/A,"Jan 01, 2026",10.8495,10.5842,10.7675,10.7675,10.6312,10.5996,10.669,10.5219,10.8079,11.1151,16.6244,20.6858
Open-End Funds,Income (Annualized Return),NBP Savings Fund,A+(f),N/A,"Jan 02, 2026",10.7026,15.6252,9.8915,9.8915,9.7236,9.8331,10.1255,15.7287,14.3764,13.841,18.4231,21.5525
Open-End Funds,Income (Annualized Return),NIT - Government Bond Fund,AA(f),N/A,"Jan 01, 2026",10.5846,10.0742,8.979,8.979,12.0377,13.3286,10.4224,9.8408,11.3399,11.3465,17.2737,20.8318
Open-End Funds,Income (Annualized Return),NIT - Income Fund,AA-(f),N/A,"Jan 01, 2026",10.8344,10.176,9.782,9.782,12.0304,12.2506,10.6722,10.0847,10.9638,11.0002,16.4301,20.4305
Open-End Funds,Income (Annualized Return),NIT Social Impact Fund,A+(f),N/A,"Jan 01, 2026",10.8225,10.5615,11.1325,11.1325,12.2032,11.8053,10.8385,10.5205,10.9672,11.2392,16.7629,21.105
Open-End Funds,Income (Annualized Return),Pak Oman Income Fund,A+(f),N/A,"Dec 31, 2025",11.336,7.9102,7.3789,8.687,7.2562,7.3754,7.5101,7.885,8.0827,8.4566,14.3191,19.3777
Open-End Funds,Income (Annualized Return),Pak Oman Micro Finance Fund,,N/A,"Jan 01, 2026",0,(61.1390),(36500.0000),(36500.0000),(2433.3333),(1216.6667),(405.5556),(202.7778),(135.1852),(100.0000),N/A,N/A
Open-End Funds,Income (Annualized Return),Pakistan Income Fund,AA(f),N/A,"Dec 31, 2025",57.9456,10.5342,11.096,9.4535,11.1033,10.8247,9.9714,9.8803,11.4564,11.4312,17.6439,20.684
Open-End Funds,Income (Annualized Return),UBL Government Securities Fund,AA(f),N/A,"Dec 31, 2025",113.0838,12.2202,22.0319,9.855,21.9097,22.3818,13.9815,11.4642,14.1209,13.8662,19.0461,22.0482
Open-End Funds,Income (Annualized Return),UBL Income Opportunity Fund,AA-(f),N/A,"Dec 31, 2025",114.2681,11.8165,15.1393,6.716,15.0526,15.2035,12.3334,11.5612,12.3662,12.2687,17.8057,21.6796
Open-End Funds,Equity (Absolute Return),ABL Stock Fund,,N/A,"Jan 01, 2026",39.6304,39.972,1.2082,1.2082,4.0225,5.9104,4.5776,34.839,45.3179,46.0238,173.2127,346.3674
Open-End Funds,Equity (Absolute Return),AKD Opportunity Fund,,N/A,"Jan 01, 2026",229.2394,37.8136,2.0031,2.0031,1.4368,4.9906,1.7005,31.7282,56.7204,44.1605,114.1407,140.3254
Open-End Funds,Equity (Absolute Return),AL Habib Stock Fund,,N/A,"Dec 31, 2025",179.3231,39.0224,5.4214,(0.2337),2.4229,4.4905,4.5643,31.984,47.1495,55.882,229.6327,423.1537
Open-End Funds,Equity (Absolute Return),Alfalah GHP Alpha Fund,,N/A,"Jan 01, 2026",120.6,43.2985,1.2254,1.2254,3.4838,8.4337,6.9054,36.1789,52.2011,51.4009,191.577,370.8826
Open-End Funds,Equity (Absolute Return),Alfalah GHP Stock Fund,,N/A,"Jan 01, 2026",208.2942,41.6245,1.1729,1.1729,3.4786,8.2727,6.7566,34.12,46.3601,45.2286,179.8342,363.3219
Open-End Funds,Equity (Absolute Return),Alfalah Stock Fund - II (Formerly: Faysal Stock Fund),,N/A,"Jan 01, 2026",83.2542,30.7384,1.2228,1.2228,3.2108,7.598,6.9693,25.2319,39.693,40.6517,149.1424,70.1139
Open-End Funds,Equity (Absolute Return),Atlas Stock Market Fund,,N/A,"Dec 31, 2025","2,177.9978",36.174,4.3526,(0.4025),1.8279,3.6565,2.8439,30.2766,42.8284,44.1525,166.0266,338.0622
Open-End Funds,Equity (Absolute Return),First Capital Mutual Fund,,N/A,"Jan 01, 2026",0,(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000),(100.0000)
Open-End Funds,Equity (Absolute Return),Golden Arrow Stock Fund,,N/A,"Jan 01, 2026",38.8563,32.9125,1.5209,1.5209,2.1513,3.92,(0.5159),27.2125,48.2973,40.5128,130.5325,213.0735
Open-End Funds,Equity (Absolute Return),HBL Energy Fund,,N/A,"Dec 31, 2025",34.6873,29.6159,5.023,0.2709,2.0362,3.1151,2.6279,27.0271,25.7054,15.1928,112.557,260.062
Open-End Funds,Equity (Absolute Return),HBL Equity Fund,,N/A,"Dec 30, 2025",251.1462,34.6878,5.8693,0.8235,0.0451,5.8693,3.5457,29.304,30.0571,19.876,146.7803,267.0933
Open-End Funds,Equity (Absolute Return),HBL Growth Fund-Class A,,N/A,"Dec 23, 2025",50.1641,18.628,(0.8276),(0.8485),(3.2194),0.2328,(0.3657),18.389,9.0358,6.0259,128.5022,232.0799
Open-End Funds,Equity (Absolute Return),HBL Growth Fund-Class B,,N/A,"Dec 23, 2025",42.6695,35.1164,5.8781,(0.6186),3.3568,8.8441,7.3214,37.4919,33.5798,26.754,133.1211,273.6536
Open-End Funds,Equity (Absolute Return),HBL Investment Fund-Class A,,N/A,"Dec 29, 2025",18.5894,22.1934,1.6864,1.053,(1.3877),1.682,(1.0228),18.8125,10.8306,9.9884,142.1956,218.492
Open-End Funds,Equity (Absolute Return),HBL Investment Fund-Class B,,N/A,"Dec 29, 2025",20.0469,36.303,7.3422,0.9716,2.8526,7.3312,6.1278,33.1197,34.4068,31.6903,120.8662,239.1586
Open-End Funds,Equity (Absolute Return),HBL Stock Fund,,N/A,"Dec 30, 2025",234.0115,37.2929,5.1446,0.4426,0.373,5.1446,3.8486,32.7296,35.0991,27.6918,117.1142,246.1406
Open-End Funds,Equity (Absolute Return),JS Growth Fund,,N/A,"Dec 31, 2025",567.65,44.6316,5.0134,0.366,2.1983,4.2669,3.9842,38.5256,50.9911,58.5813,161.6832,308.3185
Open-End Funds,Equity (Absolute Return),JS Large Cap Fund,,N/A,"Jan 01, 2026",464.7,44.816,1.3279,1.3279,2.9167,5.6617,3.9388,38.4148,51.3496,55.4682,180.6561,330.0131
Open-End Funds,Equity (Absolute Return),Lakson Equity Fund,,N/A,"Dec 31, 2025",339.4303,38.3213,5.0213,(0.4795),1.9363,4.3068,2.6632,33.4213,43.9195,51.1908,166.6827,324.0055
Open-End Funds,Equity (Absolute Return),MCB Pakistan Stock Market Fund,,N/A,"Jan 01, 2026",368.4886,42.6313,1.4487,1.4487,3.3048,7.6396,6.5419,36.1655,60.6138,62.5057,195.137,400.743
Open-End Funds,Equity (Absolute Return),National Investment Unit Trust,,N/A,"Jan 01, 2026",169.66,25.9914,1.1386,1.1386,2.2603,2.2849,(0.6674),20.7888,29.3154,23.1267,133.9718,224.3065
Open-End Funds,Equity (Absolute Return),NBP Financial Sector Fund,,N/A,"Jan 01, 2026",25.4774,62.0968,1.8974,1.8974,4.3168,6.6634,5.6041,43.8588,85.7499,90.4377,246.967,511.8039
Open-End Funds,Equity (Absolute Return),NBP Stock Fund,,N/A,"Jan 01, 2026",46.2689,43.2966,1.2759,1.2759,3.1556,6.4377,5.9447,37.3021,50.2741,47.4491,178.8462,356.026
Open-End Funds,Equity (Absolute Return),UBL Financial Sector Fund,,N/A,"Dec 31, 2025",347.1571,50.2365,4.6969,(0.1172),4.1935,4.8941,1.5438,34.2692,73.4857,91.3031,196.3373,461.3229
Open-End Funds,Equity (Absolute Return),UBL Stock Advantage Fund,,N/A,"Dec 31, 2025",275.46,33.4722,3.397,(0.3761),1.1122,2.6916,1.7772,28.9245,45.5138,48.0676,174.6824,358.8234
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan I),,N/A,"Jan 01, 2026",10.6418,5.2737,0.0282,0.0282,0.4247,0.9247,2.6299,5.0471,10.4115,13.7867,37.6927,68.914
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan II),,N/A,"Jan 01, 2026",11.0918,5.6835,0.0307,0.0307,0.4246,0.8602,2.5651,5.5096,9.6765,12.9556,33.1363,76.969
Open-End Funds,Capital Protected (Absolute Return),ABL Special Saving Fund (ABL Special Saving Plan III),,N/A,"Jan 01, 2026",10.7195,4.983,0.0261,0.0261,0.463,0.917,2.4691,4.8075,8.2676,11.3817,35.1558,64.9081
